cclasstrib;cst;descricao;versao_it;fonte
000001;000;Situações tributadas integralmente pelo IBS e CBS.;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
000002;000;Exploração de via;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
000003;000;Regime automotivo - projetos incentivados (art. 311);2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
000004;000;Regime automotivo - projetos incentivados (art. 312);2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
000005;000;Operação com EAC destinado à mistura com gasolina A, mas com saída do biocombustível com destinação diversa;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
010001;010;Operações do FGTS não realizadas pela Caixa Econômica Federal;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
010002;010;Operações do serviço financeiro;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
011001;011;Planos de assistência funerária.;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
011002;011;Planos de assistência à saúde;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
011003;011;Intermediação de planos de assistência à saúde;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
011004;011;Concursos e prognósticos;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
011005;011;Planos de assistência à saúde de animais domésticos;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
200001;200;Serviços de transporte de bens até as zonas de processamento de exportação e bens exportados a partir das zonas de processamento de exportação;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
200002;200;Fornecimento ou importação para produtor rural não contribuinte ou TAC;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
