cindop;descricao;dispositivo_legal;local;local_fornecedor;caracteristica_fornecedor;versao_it;fonte
010101;Bem Móvel Material;Inc. I;Local da entrega ou disponibilização do bem ao destinatário;Estabelecimento do fornecedor;Presencial, com retirada no estabelecimento;consultado ao vivo em 08/09/2026;oficial - Portal da Conformidade Fácil (SVRS) - Tabela de Indicadores dos Locais de Operação
010102;Bem Móvel Material;Inc. I;Local da entrega ou disponibilização do bem ao destinatário;Local da venda e retirada;Presencial, com retirada fora do estabelecimento;consultado ao vivo em 08/09/2026;oficial - Portal da Conformidade Fácil (SVRS) - Tabela de Indicadores dos Locais de Operação
010103;Bem Móvel Material;Inc. I;Local da entrega ou disponibilização do bem ao destinatário;Endereço do destinatário fornecido para entrega;Não presencial, com entrega em endereço fornecido;consultado ao vivo em 08/09/2026;oficial - Portal da Conformidade Fácil (SVRS) - Tabela de Indicadores dos Locais de Operação
010104;Bem Móvel Material;Inc. I;Local da entrega ou disponibilização do bem ao destinatário;Local onde se encontra o bem móvel material (Local da retirada);Licitação promovida pelo poder público de bem apreendido ou abandonado ou leilão judicial;consultado ao vivo em 08/09/2026;oficial - Portal da Conformidade Fácil (SVRS) - Tabela de Indicadores dos Locais de Operação
010105;Bem Móvel Material;Inc. I;Local da entrega ou disponibilização do bem ao destinatário;Local onde se encontra o bem móvel material (Local da retirada);Constatação de irregularidade pela falta de documentação fiscal ou pelo acobertamento por documentação inidônea;consultado ao vivo em 08/09/2026;oficial - Portal da Conformidade Fácil (SVRS) - Tabela de Indicadores dos Locais de Operação
010201;Aquisição de veículo automotor terrestre, aquático ou aéreo;Inc. I;Local do domicílio principal do destinatário;Domicílio principal do destinatário;Entrega ou disponibilização;consultado ao vivo em 08/09/2026;oficial - Portal da Conformidade Fácil (SVRS) - Tabela de Indicadores dos Locais de Operação
020101;Operação com bem imóvel, bem imaterial, inclusive direito, relacionada a bem imóvel;Inc. II;Local onde o imóvel estiver situado;Localidade do imóvel;Execução de operações com bem imóvel, bem imaterial, inclusive direito, relacionado a bem imóvel;consultado ao vivo em 08/09/2026;oficial - Portal da Conformidade Fácil (SVRS) - Tabela de Indicadores dos Locais de Operação
020201;Serviço prestado fisicamente sobre bem imóvel;Inc. II;Local onde o imóvel estiver situado;Localidade do imóvel;Execução de serviços sobre bem imóvel;consultado ao vivo em 08/09/2026;oficial - Portal da Conformidade Fácil (SVRS) - Tabela de Indicadores dos Locais de Operação
020301;Serviço de administração e intermediação de bem imóvel;Inc. II;Local onde o imóvel estiver situado;Localidade do imóvel;Execução de serviços sobre bem imóvel;consultado ao vivo em 08/09/2026;oficial - Portal da Conformidade Fácil (SVRS) - Tabela de Indicadores dos Locais de Operação
030101;Serviço prestado fisicamente sobre a pessoa ou fruído presencialmente por pessoa física;Inc. III;Local da prestação do serviço;Estabelecimento do fornecedor;Execução de serviços diversos exclusivamente prestados fisicamente sobre a pessoa ou integralmente fruídos presencialmente por pessoa física;consultado ao vivo em 08/09/2026;oficial - Portal da Conformidade Fácil (SVRS) - Tabela de Indicadores dos Locais de Operação
030102;Serviço prestado fisicamente sobre a pessoa ou fruído presencialmente por pessoa física;Inc. III;Local da prestação do serviço;Endereço do adquirente;Execução de serviços diversos exclusivamente prestados fisicamente sobre a pessoa ou integralmente fruídos presencialmente por pessoa física;consultado ao vivo em 08/09/2026;oficial - Portal da Conformidade Fácil (SVRS) - Tabela de Indicadores dos Locais de Operação
030103;Serviço prestado fisicamente sobre a pessoa ou fruído presencialmente por pessoa física;Inc. III;Local da prestação do serviço;Endereço do destinatário;Execução de serviços diversos exclusivamente prestados fisicamente sobre a pessoa ou integralmente fruídos presencialmente por pessoa física;consultado ao vivo em 08/09/2026;oficial - Portal da Conformidade Fácil (SVRS) - Tabela de Indicadores dos Locais de Operação
030104;Serviço prestado fisicamente sobre a pessoa ou fruído presencialmente por pessoa física;Inc. III;Local da prestação do serviço;Endereço diverso do fornecedor, adquirente ou destinatário;Execução de serviços diversos exclusivamente prestados fisicamente sobre a pessoa ou integralmente fruídos presencialmente por pessoa física;consultado ao vivo em 08/09/2026;oficial - Portal da Conformidade Fácil (SVRS) - Tabela de Indicadores dos Locais de Operação
040101;Serviço de planejamento, organização e administração de feiras, exposições, congressos, espetáculos, exibições e congêneres;Inc. VI;Local do evento a que se refere o serviço;Local do Evento;Execução de serviços de planejamento, organização e administração de feiras, exposições, congressos, espetáculos, exibições e congêneres;consultado ao vivo em 08/09/2026;oficial - Portal da Conformidade Fácil (SVRS) - Tabela de Indicadores dos Locais de Operação
050101;Serviço prestado fisicamente sobre bem móvel material;Inc. V;Local da prestação do serviço;Estabelecimento do fornecedor;Execução de serviços diversos fisicamente prestados sobre bem móvel material;consultado ao vivo em 08/09/2026;oficial - Portal da Conformidade Fácil (SVRS) - Tabela de Indicadores dos Locais de Operação
050102;Serviço prestado fisicamente sobre bem móvel material;Inc. V;Local da prestação do serviço;Endereço do adquirente;Execução de serviços diversos fisicamente prestados sobre bem móvel material;consultado ao vivo em 08/09/2026;oficial - Portal da Conformidade Fácil (SVRS) - Tabela de Indicadores dos Locais de Operação
